"id_barang";"nama_barang";"stok";"id_satuan";"id_jenis";"foto"
"BRG-0001";"Teh Pucuk Harum";"0";"2";"1";"d4f130cc51185c56c9effcfa0b4a30a0.jpg"
"BRG-0002";"Aqua";"0";"1";"1";"aqua.jpg"
"BRG-0003";"ari";"20";"4";"1";"foto_3x4-min.jpg"
"id_barang_keluar";"Mat_Code";"id_user";"jumlah_keluar";"tgl_keluar"
"BRG-K-0001";"40000710";"USR-001";"20";"2020-09-15"
"BRG-K-0002";"40000710";"USR-002";"150";"2023-02-26"
"BRG-K-0003";"40000710";"Aldo";"30";"2023-02-27"
"id_barang_masuk";"Mat_Code";"id_user";"jumlah_masuk";"tgl_masuk"
"BRG-M-0002";"40000046";"USR-0-4";"1";"2023-02-26"
"BRG-M-0003";"40000710";"USR-0-4";"100";"2023-02-26"
"BRG-M-0004";"222";;"0";"2023-02-26"
"BRG-M-0005";"2222";;"0";"2023-02-26"
"BRG-M-0006";;;"0";"2023-02-26"
"id_jenis";"nama_jenis";"ket"
"1";"Minuman";
"3";"Kemasan";
"id_satuan";"nama_satuan";"ket"
"1";"Box";
"2";"Unit";
"4";"Pack";
"Mat_Code";"Material_Description";"UOM";"Location";"Stock"
"40000046";"MFO";"L";"STORAGE TANK";"0"
"40000576";"Acetylene gas bottle";"BT";"TUBE 02";"0"
"40000710";"Aluminium anode V&W    ";"PC";"A6.02";"0"
"80000002";"MECH SEAL 102AGT06";"EA";"R07.B3.03";"0"
"80000003";"MECH SEAL 102AGT07";"EA";"R07.B3.03";"0"
"80000004";"MECH SEAL 108AGT07";"EA";"R07.B3.03";"0"
"80000008";"SEAL O-RING PN.1188706 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000010";"BEARING 6313 M C3 SKF";"EA";"R02.B1.02";"0"
"80000012";"BEARING 6316 C3 VL0241";"EA";"R02.B1.02";"0"
"80000025";"GASKET-MOTOR PN.3998110 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000027";"MECH SEAL 108AG13";"EA";"R07.B3.03";"0"
"80000033";"SIKA BOOM AP FC0943 @750ML";"EA";"Chem Storage";"0"
"80000037";"GEAR PUMP R25/20FL-Z-DB 101P01/03";"UN";"R08.B4.01";"0"
"80000073";"SHAFT AGITATO / MIXER PN.42 108AG07";"EA";"R09.B2.03";"0"
"80000090";"Bearing  6207 ZZ";"EA";"R02.B4.02";"0"
"80000091";"Bearing  6211 Z C3";"EA";"R02.B4.02";"0"
"80000092";"Bearing  6308 ZZ";"EA";"R02.B3.02";"0"
"80000093";"Bearing  6311 C3";"EA";"R02.B4.02";"0"
"80000094";"Bearing  6316/C3";"EA";"R02.B3.01";"0"
"80000095";"Bearing  6319/C3";"EA";"R02.B4.01";"0"
"80000097";"Bearing  6324/C3";"EA";"R02.B2.01";"0"
"80000098";"Bearing  NU 236E M1";"EA";"R02.B4.01";"0"
